"Reino","Filo","Classe","Ordem","Familia","Genero","Nome_cientifico","Autor","Latitude","Longitude","Datum","Formato_original","Precisao_da_coordenada","Referencia_aproximacao","Metodologia_aproximacao","Descricao_do_metodo_aproximacao","Taxon_citado","Presenca_atual","Tipo_registro","Dia","Mes","Ano","Hora","Dia_fim","Mes_fim","Ano_fim","Endemica_Brasil","Data_e_Ano_desconhecidos","Localidade","Caracteristica_da_localidade","UC_Federais","UC_Nao_Federais","RPPN","Pais","Estado","Municipio","Ambiente","Habitat","Elevacao_minima","Elevacao_maxima","Profundidade_minima","Profundidade_maxima","Identificador","Data_identificacao","Identificacao_incerta","Tombamento","Instituicao_tombamento","Compilador","Data_compilacao","Revisor","Data_revisao","Validador","data_validacao","Autor_registro","Referencia_bibliografica","Base_dados","Id_Origem","Observacao"
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","18.325556","-99.823889","Nao informado","Graus decimais","Desconhecida","","","","","","","16","4","1965","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","9.85","-69.72","Nao informado","Graus decimais","Desconhecida","","","","","","","22","7","1968","","","","","Nao","","","","","","","Venezuela","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","-20.8081","-49.3811","Nao informado","Graus decimais","Desconhecida","","","","","","","","","1900","","","","","Nao","","","","","","","Brasil","Sao Paulo","Sao Jose do Rio Preto","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","SpeciesLink, 2014. Desmodus rotundus. SpeciesLink.org, Disponivel em: http://www.splink.org.br/. Acessado em: 16/09/2014.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","16.576667","-93.925833","Nao informado","Graus decimais","Desconhecida","","","","","","","27","12","1955","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","-16.2741659084","-45.8056219919","Nao informado","GG MM SS","Referencia da area amostrada","Localidade","Centroide","Centroide do poligono formado pelos pontos de rede neblina de cada localidade","","","Coleta","","","","","","","","Nao","","","","","","","Brasil","Minas Gerais","Riachinho","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","Stumpp, R.; Nascimento-Costa, M.C.; Boroni, N.L.; Duarte, T.S. & Lessa, G. 2016. Contributions to the knowledge of small mammals (Mammalia) from northwestern Minas Gerais, Brazil. Boletim do Museu de Biologia Mello Leitao, 38 (1): p.1-21.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","19.204444","-96.8875","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","-20.2833","-40.42","Nao informado","Graus decimais","Desconhecida","","","","","","","","","1989","","","","","Nao","","","","","","","Brasil","Espirito Santo","Cariacica","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","SpeciesLink, 2014. Desmodus rotundus. SpeciesLink.org, Disponivel em: http://www.splink.org.br/. Acessado em: 16/09/2014.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","-22.41","-47.56","Nao informado","Graus decimais","Desconhecida","","","","","","","","","1978","","","","","Nao","","","","","","","Brasil","Sao Paulo","Rio Claro","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","SpeciesLink, 2014. Desmodus rotundus. SpeciesLink.org, Disponivel em: http://www.splink.org.br/. Acessado em: 16/09/2014.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","-14.40695444","-46.19530962","SIRGAS 2000","GG MM SS","Exata","","","","","","Coleta","","2","2001","","","12","2002","Nao","Nao","","Caverna","APA Nascentes do Rio Vermelho","","","Brasil","Goias","Mambai","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","Esberard, C.E.L.; Motta, J.A. & Perigo, C. 2005. Morcegos cavernicolas da area de Protecao Ambiental (APA) Nascente do Rio Vermelho, Goias. Revista Brasileira de Zoociencias, 7 (2): p.311-325.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","17.094722","-94.119444","Nao informado","Graus decimais","Desconhecida","","","","","","","25","4","1995","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","16.6132713239224","-92.5085491167981","Nao informado","Graus decimais","Desconhecida","","","","","","","30","9","1962","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","15.936667","-92.170278","Nao informado","Graus decimais","Desconhecida","","","","","","","4","3","1973","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","17.548056","-92.9375","Nao informado","Graus decimais","Desconhecida","","","","","","","26","3","1959","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","18.4584421530323","-99.0106534092412","Nao informado","Graus decimais","Desconhecida","","","","","","","9","2","2000","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","-19.762778","-44.313611","Nao informado","Graus decimais","Desconhecida","","","","","","","","","1981","","","","","Nao","","","","","","","Brasil","Minas Gerais","Esmeraldas","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","SpeciesLink, 2014. Desmodus rotundus. SpeciesLink.org, Disponivel em: http://www.splink.org.br/. Acessado em: 16/09/2014.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","11.689132","-71.85","Nao informado","Graus decimais","Desconhecida","","","","","","","24","4","2009","","","","","Nao","","","","","","","Colombia","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","21.539167","-105.285278","Nao informado","Graus decimais","Desconhecida","","","","","","","3","10","1964","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","11.05","-63.87","Nao informado","Graus decimais","Desconhecida","","","","","","","25","1","1967","","","","","Nao","","","","","","","Venezuela","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","3.906111","-74.744444","Nao informado","Graus decimais","Desconhecida","","","","","","","17","8","2004","","","","","Nao","","","","","","","Colombia","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","19.189683","-96.986372","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","18.488889","-95.059444","Nao informado","Graus decimais","Desconhecida","","","","","","","4","5","1968","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","17.723611","-96.123889","Nao informado","Graus decimais","Desconhecida","","","","","","","23","3","1960","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","17.278056","-99.500833","Nao informado","Graus decimais","Desconhecida","","","","","","","23","7","1962","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","11.2165","-73.440639","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Colombia","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","10.749611","-75.162278","Nao informado","Graus decimais","Desconhecida","","","","","","","6","8","2015","","","","","Nao","","","","","","","Colombia","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","18.7762043997291","-99.2223254639932","Nao informado","Graus decimais","Desconhecida","","","","","","","5","8","1949","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
