species,longitude,latitude,year,source
Desmodus rotundus,-34.920831,-7.920831,2009,portalbio
Desmodus rotundus,-34.920831,-7.920831,2009,portalbio
Desmodus rotundus,-51.94891,-0.82675,2013,portalbio
Desmodus rotundus,-51.94891,-0.82675,2013,portalbio
Desmodus rotundus,-51.94891,-0.82675,2013,portalbio
Desmodus rotundus,-51.94891,-0.82675,2013,portalbio
Desmodus rotundus,-51.94891,-0.82675,2013,portalbio
Desmodus rotundus,-51.94891,-0.82675,2013,portalbio
Desmodus rotundus,-51.94891,-0.82675,2013,portalbio
Desmodus rotundus,-51.94891,-0.82675,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94064,-0.78639,2013,portalbio
Desmodus rotundus,-51.94762,-0.74964,2013,portalbio
Desmodus rotundus,-51.94762,-0.74964,2013,portalbio
Desmodus rotundus,-51.94762,-0.74964,2013,portalbio
Desmodus rotundus,-51.94762,-0.74964,2013,portalbio
Desmodus rotundus,-51.94762,-0.74964,2013,portalbio
Desmodus rotundus,-51.94762,-0.74964,2013,portalbio
Desmodus rotundus,-51.94762,-0.74964,2013,portalbio
Desmodus rotundus,-51.94762,-0.74964,2013,portalbio
Desmodus rotundus,-51.94762,-0.74964,2013,portalbio
Desmodus rotundus,-51.94762,-0.74964,2013,portalbio
Desmodus rotundus,-51.94762,-0.74964,2013,portalbio
Desmodus rotundus,-51.94762,-0.74964,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-51.99709,-0.68412,2013,portalbio
Desmodus rotundus,-52.05841,-0.61084,2013,portalbio
Desmodus rotundus,-48.43274,-24.200492,2011,portalbio
Desmodus rotundus,-48.427385,-24.196416,2012,portalbio
Desmodus rotundus,-48.425324,-24.200348,2012,portalbio
Desmodus rotundus,-35.184631,-6.085558,2011,portalbio
Desmodus rotundus,-43.706164,-22.598794,2011,portalbio
Desmodus rotundus,-37.316667,-10.65,2013,portalbio
Desmodus rotundus,-47.647717,-22.146541,2013,portalbio
Desmodus rotundus,-51.128331,-0.045778,2008,portalbio
Desmodus rotundus,-47.837219,-22.266222,2012,portalbio
Desmodus rotundus,-46.504639,-1.453856,2013,portalbio
Desmodus rotundus,-37.878217,-9.335925,2009,portalbio
Desmodus rotundus,-47.417778,-22.820556,2012,portalbio
Desmodus rotundus,-47.544444,-22.394722,2012,portalbio
Desmodus rotundus,-47.544444,-22.394722,2013,portalbio
Desmodus rotundus,-44.824219,-23.364469,2013,portalbio
Desmodus rotundus,-46.948858,-23.251192,2012,portalbio
Desmodus rotundus,-46.948858,-23.251192,2012,portalbio
Desmodus rotundus,-44.910108,-22.448692,2013,portalbio
Desmodus rotundus,-45.144469,-22.50575,2013,portalbio
Desmodus rotundus,-45.144469,-22.50575,2013,portalbio
Desmodus rotundus,-48.428322,-24.201444,2012,portalbio
Desmodus rotundus,-51.35,-29.733333,2013,portalbio
Desmodus rotundus,-43.3475,-6.658889,2012,portalbio
Desmodus rotundus,-35.141667,-6.7494440000000004,2013,portalbio
Desmodus rotundus,-40.889969,-10.505931,2013,portalbio
Desmodus rotundus,-40.91815,-10.209142,2013,portalbio
Desmodus rotundus,-40.91815,-10.209142,2013,portalbio
Desmodus rotundus,-40.91815,-10.209142,2013,portalbio
Desmodus rotundus,-40.91815,-10.209142,2013,portalbio
Desmodus rotundus,-40.91815,-10.209142,2013,portalbio
Desmodus rotundus,-40.5375,-10.451,2013,portalbio
Desmodus rotundus,-40.8712,-10.1797,2013,portalbio
Desmodus rotundus,-40.889567,-10.2162,2013,portalbio
Desmodus rotundus,-40.889567,-10.2162,2013,portalbio
Desmodus rotundus,-43.66265,-19.118728,2010,portalbio
Desmodus rotundus,-42.881667,-20.753889,2014,portalbio
Desmodus rotundus,-51.461611,-0.447744,2013,portalbio
Desmodus rotundus,-51.461611,-0.447744,2013,portalbio
Desmodus rotundus,-51.437795,-0.413852,2013,portalbio
Desmodus rotundus,-51.470813,-0.445328,2013,portalbio
Desmodus rotundus,-51.470813,-0.445328,2013,portalbio
Desmodus rotundus,-51.470813,-0.445328,2013,portalbio
Desmodus rotundus,-51.549189,-0.536378,2013,portalbio
Desmodus rotundus,-43.404517,-22.939964,2008,portalbio
Desmodus rotundus,-43.404517,-22.939964,2009,portalbio
Desmodus rotundus,-35.139556,-6.728972,2014,portalbio
Desmodus rotundus,-46.504639,-1.453856,2014,portalbio
Desmodus rotundus,-46.504639,-1.453856,2014,portalbio
Desmodus rotundus,-46.520028,-1.485889,2014,portalbio
Desmodus rotundus,-46.520028,-1.485889,2014,portalbio
Desmodus rotundus,-46.504639,-1.453861,2014,portalbio
Desmodus rotundus,-46.504639,-1.453861,2014,portalbio
Desmodus rotundus,-46.400806,-1.064556,2014,portalbio
Desmodus rotundus,-46.400806,-1.064556,2014,portalbio
Desmodus rotundus,-46.520917,-1.284472,2014,portalbio
Desmodus rotundus,-46.520917,-1.284472,2014,portalbio
Desmodus rotundus,-46.520917,-1.284472,2014,portalbio
Desmodus rotundus,-46.520917,-1.284472,2014,portalbio
Desmodus rotundus,-46.504639,-1.453856,2013,portalbio
Desmodus rotundus,-46.936217,-1.051956,2013,portalbio
Desmodus rotundus,-46.956856,-1.025417,2013,portalbio
Desmodus rotundus,-46.955639,-1.01425,2013,portalbio
Desmodus rotundus,-46.520917,-1.284467,2013,portalbio
Desmodus rotundus,-46.741389,-1.050942,2013,portalbio
Desmodus rotundus,-45.544506,-20.287317,2012,portalbio
Desmodus rotundus,-55.192083,-2.612361,2012,portalbio
Desmodus rotundus,-51.399837,-0.244296,2013,portalbio
Desmodus rotundus,-51.351336,-0.25096,2013,portalbio
Desmodus rotundus,-51.351336,-0.25096,2013,portalbio
Desmodus rotundus,-51.351336,-0.25096,2013,portalbio
Desmodus rotundus,-51.351336,-0.25096,2013,portalbio
Desmodus rotundus,-51.399837,-0.244296,2013,portalbio
Desmodus rotundus,-51.415517,-0.2622,2013,portalbio
Desmodus rotundus,-51.411261,-0.241649,2013,portalbio
Desmodus rotundus,-51.369926,-0.253874,2013,portalbio
Desmodus rotundus,-51.369926,-0.253874,2013,portalbio
Desmodus rotundus,-47.641667,-22.708333,2014,portalbio
Desmodus rotundus,-59.933917,-2.948661,2013,portalbio
Desmodus rotundus,-52.184783,-14.337339,2014,portalbio
Desmodus rotundus,-52.184783,-14.337339,2014,portalbio
Desmodus rotundus,-52.360564,-14.557642,2013,portalbio
Desmodus rotundus,-44.627425,-16.148556,2014,portalbio
Desmodus rotundus,-44.627425,-16.148556,2014,portalbio
