Dataset_sequence_ID,Data.entry,Cave.data.series,Biogeographical.realm,Continent,Biome classification,Country.record,Cave.site,Lattitude,Longitude,Species.name,Record.source,URL
Dataset_2_1338,BC 1339,S 038,Palearctic,Europe,TBMF,Bulgaria,Mandrata B,41.66667,25,Rhinolophus mehelyi,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1339,BC 1340,S 038,Palearctic,Europe,TBMF,Bulgaria,Futiovkata cave,43,25.01667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1340,BC 1341,S 038,Palearctic,Europe,TBMF,Bulgaria,Uhlovista,43.21667,25.01667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1341,BC 1342,S 038,Palearctic,Europe,TBMF,Bulgaria,Prilepnata,42.13333,25.06667,Rhinolophus euryale,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1342,BC 1343,S 038,Palearctic,Europe,TBMF,Bulgaria,Prilepnata,42.13333,25.06667,Myotis myotis,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1343,BC 1344,S 038,Palearctic,Europe,TBMF,Bulgaria,Prilepnata,42.13333,25.06667,Myotis capaccinii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1344,BC 1345,S 038,Palearctic,Europe,TBMF,Bulgaria,Prilepnata,42.13333,25.06667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1345,BC 1346,S 038,Palearctic,Europe,TBMF,Bulgaria,Chernata Peshtera cave,41.41667,25.21667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1346,BC 1347,S 038,Palearctic,Europe,TBMF,Bulgaria,Emenskata Peshtera cave B,42.03333,25.35,Rhinolophus euryale,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1347,BC 1348,S 038,Palearctic,Europe,TBMF,Bulgaria,Emenskata Peshtera cave B,42.03333,25.35,Myotis myotis,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1348,BC 1349,S 038,Palearctic,Europe,TBMF,Bulgaria,Emenskata Peshtera cave B,42.03333,25.35,Myotis blythii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1349,BC 1350,S 038,Palearctic,Europe,TBMF,Bulgaria,Emenskata Peshtera cave B,42.03333,25.35,Myotis capaccinii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1350,BC 1351,S 038,Palearctic,Europe,TBMF,Bulgaria,Emenskata Peshtera cave B,42.03333,25.35,Myotis emarginatus,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1351,BC 1352,S 038,Palearctic,Europe,TBMF,Bulgaria,Emenskata Peshtera cave B,42.03333,25.35,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1352,BC 1353,S 038,Palearctic,Europe,TBMF,Bulgaria,Emenskata Peshtera cave B,42.03333,25.35,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1353,BC 1354,S 038,Palearctic,Europe,TBMF,Bulgaria,Emenskata Peshtera cave B,42.03333,25.35,Rhinolophus hipposideros,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1354,BC 1355,S 038,Palearctic,Europe,TBMF,Bulgaria,Emenskata Peshtera cave B,42.03333,25.35,Rhinolophus mehelyi,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1355,BC 1356,S 038,Palearctic,Europe,TBMF,Bulgaria,Andaka cave,42.28333,25.46667,Rhinolophus euryale,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1356,BC 1357,S 038,Palearctic,Europe,TBMF,Bulgaria,Andaka cave,42.28333,25.46667,Myotis myotis,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1357,BC 1358,S 038,Palearctic,Europe,TBMF,Bulgaria,Andaka cave,42.28333,25.46667,Myotis capaccinii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1358,BC 1359,S 038,Palearctic,Europe,TBMF,Bulgaria,Andaka cave,42.28333,25.46667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1359,BC 1360,S 038,Palearctic,Europe,TBMF,Bulgaria,Andaka cave,42.28333,25.46667,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1360,BC 1361,S 038,Palearctic,Europe,TBMF,Bulgaria,Andaka cave,42.28333,25.46667,Rhinolophus hipposideros,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1361,BC 1362,S 038,Palearctic,Europe,TBMF,Bulgaria,Bacho Kiro cave,42.31667,25.46667,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1362,BC 1363,S 038,Palearctic,Europe,TBMF,Bulgaria,Bacho Kiro cave,42.31667,25.46667,Rhinolophus hipposideros,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1363,BC 1364,S 038,Palearctic,Europe,TBMF,Bulgaria,Jarasa-Ini cave,43.11667,25.51667,Rhinolophus blasii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1364,BC 1365,S 038,Palearctic,Europe,TBMF,Bulgaria,Jarasa-Ini cave,43.11667,25.51667,Myotis blythii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1365,BC 1366,S 038,Palearctic,Europe,TBMF,Bulgaria,Jarasa-Ini cave,43.11667,25.51667,Myotis capaccinii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1366,BC 1367,S 038,Palearctic,Europe,TBMF,Bulgaria,Jarasa-Ini cave,43.11667,25.51667,Myotis emarginatus,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1367,BC 1368,S 038,Palearctic,Europe,TBMF,Bulgaria,Jarasa-Ini cave,43.11667,25.51667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1368,BC 1369,S 038,Palearctic,Europe,TBMF,Bulgaria,Jarasa-Ini cave,43.11667,25.51667,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1369,BC 1370,S 038,Palearctic,Europe,TBMF,Bulgaria,Jarasa-Ini cave,43.11667,25.51667,Rhinolophus hipposideros,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1370,BC 1371,S 038,Palearctic,Europe,TBMF,Bulgaria,Jarasa-Ini cave,43.11667,25.51667,Rhinolophus mehelyi,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1371,BC 1372,S 038,Palearctic,Europe,TBMF,Bulgaria,Aina Ini cave B,43.61667,25.51667,Rhinolophus blasii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1372,BC 1373,S 038,Palearctic,Europe,TBMF,Bulgaria,Aina Ini cave B,43.61667,25.51667,Rhinolophus euryale,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1373,BC 1374,S 038,Palearctic,Europe,TBMF,Bulgaria,Aina Ini cave B,43.61667,25.51667,Myotis myotis,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1374,BC 1375,S 038,Palearctic,Europe,TBMF,Bulgaria,Aina Ini cave B,43.61667,25.51667,Myotis capaccinii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1375,BC 1376,S 038,Palearctic,Europe,TBMF,Bulgaria,Aina Ini cave B,43.61667,25.51667,Myotis emarginatus,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1376,BC 1377,S 038,Palearctic,Europe,TBMF,Bulgaria,Aina Ini cave B,43.61667,25.51667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1377,BC 1378,S 038,Palearctic,Europe,TBMF,Bulgaria,Aina Ini cave B,43.61667,25.51667,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1378,BC 1379,S 038,Palearctic,Europe,TBMF,Bulgaria,Samara,43.61667,25.51667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1379,BC 1380,S 038,Palearctic,Europe,TBMF,Bulgaria,Aina Ini cave B,43.61667,25.51667,Rhinolophus hipposideros,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1380,BC 1381,S 038,Palearctic,Europe,TBMF,Bulgaria,Aina Ini cave B,43.61667,25.51667,Rhinolophus mehelyi,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1381,BC 1382,S 038,Palearctic,Europe,TBMF,Bulgaria,Manaf-Kojusju,41.63333,25.61667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1382,BC 1383,S 038,Palearctic,Europe,TBMF,Bulgaria,Vodnite,42.01667,25.75,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1383,BC 1384,S 038,Palearctic,Europe,TBMF,Bulgaria,Karangin,43.41667,25.75,Myotis myotis,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1384,BC 1385,S 038,Palearctic,Europe,TBMF,Bulgaria,Karangin,43.41667,25.75,Myotis blythii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1385,BC 1386,S 038,Palearctic,Europe,TBMF,Bulgaria,Karangin,43.41667,25.75,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1386,BC 1387,S 038,Palearctic,Europe,TBMF,Bulgaria,Gyurgen Dere cave,42.03333,25.91667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1387,BC 1388,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlova,43.45,25.91667,Rhinolophus euryale,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1388,BC 1389,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlova,43.45,25.91667,Myotis myotis,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1389,BC 1390,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlova,43.45,25.91667,Myotis blythii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1390,BC 1391,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlova,43.45,25.91667,Myotis capaccinii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1391,BC 1392,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlova,43.45,25.91667,Myotis emarginatus,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1392,BC 1393,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlova,43.45,25.91667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1393,BC 1394,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlova,43.45,25.91667,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1394,BC 1395,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlova,43.45,25.91667,Rhinolophus hipposideros,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1395,BC 1396,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlova,43.45,25.91667,Rhinolophus mehelyi,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1396,BC 1397,S 038,Palearctic,Europe,TBMF,Bulgaria,Zorovitsa 3,41.75,26.01667,Rhinolophus euryale,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1397,BC 1398,S 038,Palearctic,Europe,TBMF,Bulgaria,Zandana 3,41.75,26.01667,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1398,BC 1399,S 038,Palearctic,Europe,TBMF,Bulgaria,Zorovitsa 3,41.75,26.01667,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1399,BC 1400,S 038,Palearctic,Europe,TBMF,Bulgaria,Zorovitsa 3,41.75,26.01667,Myotis myotis,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1400,BC 1401,S 038,Palearctic,Europe,TBMF,Bulgaria,Zorovitsa 3,41.75,26.01667,Myotis blythii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1401,BC 1402,S 038,Palearctic,Europe,TBMF,Bulgaria,Zorovitsa 3,41.75,26.01667,Myotis capaccinii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1402,BC 1403,S 038,Palearctic,Europe,TBMF,Bulgaria,Zorovitsa 3,41.75,26.01667,Myotis emarginatus,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1403,BC 1404,S 038,Palearctic,Europe,TBMF,Bulgaria,Zorovitsa 3,41.75,26.01667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1404,BC 1405,S 038,Palearctic,Europe,TBMF,Bulgaria,Zorovitsa 3,41.75,26.01667,Rhinolophus hipposideros,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1405,BC 1406,S 038,Palearctic,Europe,TBMF,Bulgaria,Zorovitsa 3,41.75,26.01667,Rhinolophus mehelyi,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1406,BC 1407,S 038,Palearctic,Europe,TBMF,Bulgaria,Gabarnika cave,43.2,26.01667,Rhinolophus euryale,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1407,BC 1408,S 038,Palearctic,Europe,TBMF,Bulgaria,Gabarnika cave,43.2,26.01667,Myotis myotis,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1408,BC 1409,S 038,Palearctic,Europe,TBMF,Bulgaria,Gabarnika cave,43.2,26.01667,Myotis blythii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1409,BC 1410,S 038,Palearctic,Europe,TBMF,Bulgaria,Gabarnika cave,43.2,26.01667,Myotis capaccinii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1410,BC 1411,S 038,Palearctic,Europe,TBMF,Bulgaria,Gabarnika cave,43.2,26.01667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1411,BC 1412,S 038,Palearctic,Europe,TBMF,Bulgaria,Gabarnika cave,43.2,26.01667,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1412,BC 1413,S 038,Palearctic,Europe,TBMF,Bulgaria,Gabarnika cave,43.2,26.01667,Rhinolophus hipposideros,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1413,BC 1414,S 038,Palearctic,Europe,TBMF,Bulgaria,Gabarnika cave,43.2,26.01667,Rhinolophus mehelyi,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1414,BC 1415,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlovata,43.16667,26.33333,Rhinolophus euryale,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1415,BC 1416,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlovata,43.16667,26.33333,Myotis myotis,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1416,BC 1417,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlovata,43.16667,26.33333,Myotis blythii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1417,BC 1418,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlovata,43.16667,26.33333,Myotis capaccinii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1418,BC 1419,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlovata,43.16667,26.33333,Myotis emarginatus,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1419,BC 1420,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlovata,43.16667,26.33333,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1420,BC 1421,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlovata,43.16667,26.33333,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1421,BC 1422,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlovata,43.16667,26.33333,Rhinolophus hipposideros,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1422,BC 1423,S 038,Palearctic,Europe,TBMF,Bulgaria,Orlovata,43.16667,26.33333,Rhinolophus mehelyi,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1423,BC 1424,S 038,Palearctic,Europe,TBMF,Bulgaria,Derventskata cave,43.46667,26.5,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1424,BC 1425,S 038,Palearctic,Europe,TBMF,Bulgaria,Marina Dupka,43.06667,26.56667,Myotis myotis,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1425,BC 1426,S 038,Palearctic,Europe,TBMF,Bulgaria,Marina Dupka,43.06667,26.56667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1426,BC 1427,S 038,Palearctic,Europe,TBMF,Bulgaria,Lesova,43.21667,26.56667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1427,BC 1428,S 038,Palearctic,Europe,TBMF,Bulgaria,"Vodnata cave, v. Cerovo",43.26667,26.56667,Rhinolophus euryale,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1428,BC 1429,S 038,Palearctic,Europe,TBMF,Bulgaria,Kesedzhiica,43.26667,26.56667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1429,BC 1430,S 038,Palearctic,Europe,TBMF,Bulgaria,Suhata,43.26667,26.56667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1430,BC 1431,S 038,Palearctic,Europe,TBMF,Bulgaria,"Vodnata cave, v. Cerovo",43.26667,26.56667,Myotis capaccinii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1431,BC 1432,S 038,Palearctic,Europe,TBMF,Bulgaria,"Vodnata cave, v. Cerovo",43.26667,26.56667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1432,BC 1433,S 038,Palearctic,Europe,TBMF,Bulgaria,"Vodnata cave, v. Cerovo",43.26667,26.56667,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1433,BC 1434,S 038,Palearctic,Europe,TBMF,Bulgaria,Lednitsa,43.16667,26.58333,Myotis myotis,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1434,BC 1435,S 038,Palearctic,Europe,TBMF,Bulgaria,Lednitsa,43.16667,26.58333,Myotis capaccinii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1435,BC 1436,S 038,Palearctic,Europe,TBMF,Bulgaria,Lednitsa,43.16667,26.58333,Myotis emarginatus,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1436,BC 1437,S 038,Palearctic,Europe,TBMF,Bulgaria,Lednitsa,43.16667,26.58333,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1437,BC 1438,S 038,Palearctic,Europe,TBMF,Bulgaria,Subatta,43.16667,26.58333,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1438,BC 1439,S 038,Palearctic,Europe,TBMF,Bulgaria,Lednitsa,43.16667,26.58333,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1439,BC 1440,S 038,Palearctic,Europe,TBMF,Bulgaria,Lednitsa,43.16667,26.58333,Rhinolophus hipposideros,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1440,BC 1441,S 038,Palearctic,Europe,TBMF,Bulgaria,Subatta,43.16667,26.58333,Rhinolophus mehelyi,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1441,BC 1442,S 038,Palearctic,Europe,TBMF,Bulgaria,Dalbokata cave,43.16667,26.86667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1442,BC 1443,S 038,Palearctic,Europe,TBMF,Bulgaria,Zandana 2 (Divdyadovska),43.63333,26.91667,Rhinolophus euryale,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1443,BC 1444,S 038,Palearctic,Europe,TBMF,Bulgaria,Zandana 2 (Divdyadovska),43.63333,26.91667,Myotis myotis,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1444,BC 1445,S 038,Palearctic,Europe,TBMF,Bulgaria,Zandana 2 (Divdyadovska),43.63333,26.91667,Myotis blythii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1445,BC 1446,S 038,Palearctic,Europe,TBMF,Bulgaria,Zandana 2 (Divdyadovska),43.63333,26.91667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1446,BC 1447,S 038,Palearctic,Europe,TBMF,Bulgaria,Zandana 2 (Divdyadovska),43.63333,26.91667,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1447,BC 1448,S 038,Palearctic,Europe,TBMF,Bulgaria,Hilyadite cave,43.26667,27.05,Rhinolophus euryale,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1448,BC 1449,S 038,Palearctic,Europe,TBMF,Bulgaria,Hilyadite cave,43.26667,27.05,Myotis myotis,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1449,BC 1450,S 038,Palearctic,Europe,TBMF,Bulgaria,Hilyadite cave,43.26667,27.05,Myotis blythii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1450,BC 1451,S 038,Palearctic,Europe,TBMF,Bulgaria,Hilyadite cave,43.26667,27.05,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1451,BC 1452,S 038,Palearctic,Europe,TBMF,Bulgaria,Hilyadite cave,43.26667,27.05,Rhinolophus ferrumequinum,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1452,BC 1453,S 038,Palearctic,Europe,TBMF,Bulgaria,Hilyadite cave,43.26667,27.05,Rhinolophus mehelyi,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1453,BC 1454,S 038,Palearctic,Europe,TBMF,Bulgaria,Kaleto cave,43.31667,27.36667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1454,BC 1455,S 038,Palearctic,Europe,TBMF,Bulgaria,Leyarnitzite,43.31667,27.36667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1455,BC 1456,S 038,Palearctic,Europe,TBMF,Bulgaria,Maharata,43.01667,27.76667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1456,BC 1457,S 038,Palearctic,Europe,TBMF,Bulgaria,Temnata Dupka 2,43.46667,27.76667,Miniopterus schreibersii,Eurobat Database,https://www.eurobats.org/activities/intersessional_working_groups/underground_sites
Dataset_2_1457,BC 1458,S 039,Palearctic,Europe,TBMF,United Kingdom,Castlemartin Cliffs and Dunes,51.6,-5,Rhinolophus ferrumequinum,"Park, K. J., Jones, G., & Ransome, R. D. (1999). Winter activity of a population of greater horseshoe bats (Rhinolophus ferrumequinum). Journal of Zoology, 248(4), 419-427.",https://www.cambridge.org/core/journals/journal-of-zoology/article/winter-activity-of-a-population-of-greater-horseshoe-bats-rhinolophus-ferrumequinum/5B051D3DB78B5A27F11E6FDBD90C5520
Dataset_2_1458,BC 1459,S 039,Palearctic,Europe,TBMF,United Kingdom,Baker's Pit Cave,50.4,-3.7,Rhinolophus ferrumequinum,"Park, K. J., Jones, G., & Ransome, R. D. (1999). Winter activity of a population of greater horseshoe bats (Rhinolophus ferrumequinum). Journal of Zoology, 248(4), 419-427.",https://www.cambridge.org/core/journals/journal-of-zoology/article/winter-activity-of-a-population-of-greater-horseshoe-bats-rhinolophus-ferrumequinum/5B051D3DB78B5A27F11E6FDBD90C5520
Dataset_2_1459,BC 1460,S 039,Palearctic,Europe,TBMF,United Kingdom,Joint Mitnor Cave,50.4,-3.7,Rhinolophus ferrumequinum,"Park, K. J., Jones, G., & Ransome, R. D. (1999). Winter activity of a population of greater horseshoe bats (Rhinolophus ferrumequinum). Journal of Zoology, 248(4), 419-427.",https://www.cambridge.org/core/journals/journal-of-zoology/article/winter-activity-of-a-population-of-greater-horseshoe-bats-rhinolophus-ferrumequinum/5B051D3DB78B5A27F11E6FDBD90C5520
