Dataset_sequence_ID,Data_Entry,Cave_Datas,Biogeographical.realm,Region,Country,Cave_Name,Latitude,Longitude,Canopy.cov,Tree.dens,Freshwater.dist,Bareground.change,Shortveg.change,Talltree.change,Urban.dist,Road.dist,Mine.dens,Nighlight,Pesticide.exp,Pop.dens
Dataset_3_035,BC 238,S 009,Indomalayan,Asia,Sri Lanka,S7 Sri Lanka,7.06406,80.04869,0,0,36.9411,0,0,0,0,0,0,128,0,773.716
Dataset_3_036,BC 239,S 009,Indomalayan,Asia,Sri Lanka,S8 Sri Lanka,7.06408,80.04875,0,0,36.9411,0,0,0,0,0,0,128,0,773.716
Dataset_3_037,BC 240,S 009,Indomalayan,Asia,Sri Lanka,S9 Sri Lanka,7.06439,80.04883,0,0,36.9411,0,0,0,0,0,0,128,0,773.716
Dataset_3_038,BC 241,S 009,Indomalayan,Asia,Sri Lanka,S19 Sri Lanka,7.07039,80.04886,0,0,36.9411,0,0,0,0,0,0,140,0,961.764
Dataset_3_039,BC 242,S 009,Indomalayan,Asia,Sri Lanka,S6 Sri Lanka,7.06417,80.04894,0,0,36.9411,0,0,0,0,0,0,128,0,773.716
Dataset_3_040,BC 243,S 009,Indomalayan,Asia,Sri Lanka,S18 Sri Lanka,7.07083,80.04906,0,0,36.9411,0,0,0,0,0,0,140,0,961.764
Dataset_3_041,BC 244,S 009,Indomalayan,Asia,Sri Lanka,S5 Sri Lanka,7.06381,80.04911,0,0,36.9411,0,0,0,0,0,0,128,0,773.716
Dataset_3_042,BC 245,S 009,Indomalayan,Asia,Sri Lanka,S14 Sri Lanka,7.06806,80.04933,0,0,36.9411,0,0,0,0,0,0,140,0,961.764
Dataset_3_043,BC 246,S 009,Indomalayan,Asia,Sri Lanka,S10 Sri Lanka,7.065,80.04939,0,0,36.9411,0,0,0,0,0,0,128,0,773.716
Dataset_3_044,BC 247,S 009,Indomalayan,Asia,Sri Lanka,S11 Sri Lanka,7.06503,80.04942,0,0,36.9411,0,0,0,0,0,0,128,0,773.716
Dataset_3_045,BC 248,S 009,Indomalayan,Asia,Sri Lanka,S16 Sri Lanka,7.06922,80.04953,0,0,26.1421,0,0,0,0,0,0,140,0,961.764
Dataset_3_046,BC 249,S 009,Indomalayan,Asia,Sri Lanka,S15 Sri Lanka,7.06778,80.04964,0,0,44.1421,0,0,0,0,0,0,140,0,961.764
Dataset_3_047,BC 250,S 009,Indomalayan,Asia,Sri Lanka,S12 Sri Lanka,7.06903,80.05139,25,0,44.1421,0,0,0,0,0,0,125,0,542.22
Dataset_3_048,BC 251,S 009,Indomalayan,Asia,Sri Lanka,S13 Sri Lanka,7.06908,80.05147,25,0,44.1421,0,0,0,0,0,0,125,0,542.22
Dataset_3_049,BC 253,S 010,Indomalayan,Asia,Indonesia,Celeng,-7.70633,109.39387,30,0,13.8995,0,0,0,9071.07,0,0,53,0,854.402
Dataset_3_050,BC 257,S 010,Indomalayan,Asia,Indonesia,Kampil,-7.70648,109.39727,30,0,33.6274,0,0,0,9071.07,0,0,51,0,854.402
Dataset_3_051,BC 258,S 010,Indomalayan,Asia,Indonesia,Liyah,-7.70653,109.3973,30,0,33.6274,0,0,0,9071.07,0,0,51,0,854.402
Dataset_3_052,BC 273,S 011,Indomalayan,Asia,Malaysia,Wind Cave Nature Reserve,1.41525,110.13515,0,0,11.4853,0,-20,21,1414.21,0,99.4718,48,15904,74.125
Dataset_3_053,BC 293,S 013,Indomalayan,Asia,Philippines,"Cave 1, Carmen, Agusan del Norte",9.0937,125.20941,0,0,6,0,0,0,0,0,0,21,0,695.685
Dataset_3_054,BC 294,S 013,Indomalayan,Asia,Philippines,"Cave 2, Carmen, Agusan del Norte",9.09292,125.21206,0,0,6,0,0,0,0,0,0,21,0,695.685
Dataset_3_055,BC 296,S 013,Indomalayan,Asia,Philippines,"Cave 3, Carmen, Agusan del Norte",9.09292,125.21206,0,0,6,0,0,0,0,0,0,21,0,695.685
Dataset_3_056,BC 299,S 013,Indomalayan,Asia,Philippines,Humilog cave,9.05246,125.56042,0,0,6,0,0,0,6000,0,0,41,0,581.874
Dataset_3_057,BC 301,S 014,Indomalayan,Asia,Philippines,Bulod cave,9.81878,126.01353,0,0,5.65685,0,-17,17,0,0,0,49,0,416.499
Dataset_3_058,BC 302,S 014,Indomalayan,Asia,Philippines,Bulod cave 2,9.81881,126.01353,0,0,78.799,0,-17,17,0,0,0,49,0,416.499
Dataset_3_059,BC 307,S 014,Indomalayan,Asia,Philippines,Sumiyot cave,9.76364,126.03928,0,0,39.0416,0,-34,35,0,0,0,56,0,355.778
Dataset_3_060,BC 308,S 014,Indomalayan,Asia,Philippines,Sta. Monica cave,9.98292,126.05364,0,0,39.0416,0,0,0,0,0,0,53,0,248.444
Dataset_3_061,BC 309,S 014,Indomalayan,Asia,Philippines,Guano cave,10.018,126.07422,0,0,39.0416,0,0,0,0,1000,0,65,0,763.222
Dataset_3_062,BC 313,S 014,Indomalayan,Asia,Philippines,Patag cave,9.99856,126.08011,0,47895.2,16.0711,0,0,0,0,0,0,46,0,369.708
Dataset_3_063,BC 315,S 014,Indomalayan,Asia,Philippines,Buho cave,9.80306,126.10628,29,0,16.6569,0,0,0,0,0,49.7359,47,0,54.019
Dataset_3_064,BC 328,S 015,Indomalayan,Asia,Philippines,Nan-od,9.74694,124.26382,26,0,20.0711,0,-30,30,19485.3,2000,0,48,0,65.381
Dataset_3_065,BC 342,S 015,Indomalayan,Asia,Philippines,Bugsoc,9.76407,124.2658,0,0,33.2843,0,-18,18,21485.3,2000,0,50,0,417.709
Dataset_3_066,BC 374,S 016,Indomalayan,Asia,Philippines,Mat Weaving Cave,11.77007,121.89508,26,0,14.4142,0,-35,36,14071.1,0,0,43,0,566.432
Dataset_3_067,BC 380,S 016,Indomalayan,Asia,Philippines,Balo Cave 1,11.76102,121.90675,0,0,10.6569,0,-33,34,0,1000,0,46,0,1385.59
Dataset_3_068,BC 381,S 016,Indomalayan,Asia,Philippines,Balo Cave 2,11.76102,121.90675,0,0,11.6569,0,-33,34,0,1000,0,46,0,1385.59
Dataset_3_069,BC 385,S 016,Indomalayan,Asia,Philippines,Maramig Cave,11.76562,121.95812,0,0,12.6569,0,-31,32,13828.4,0,0,46,0,111.904
Dataset_3_070,BC 388,S 016,Indomalayan,Asia,Philippines,Malalison Island Cave 2,11.41205,122.01553,0,0,12.6569,0,0,0,0,0,0,24,0,1140.18
Dataset_3_071,BC 389,S 016,Indomalayan,Asia,Philippines,Malalison Island Cave 1,11.41205,122.01553,0,0,12.6569,0,0,0,0,0,0,24,0,1140.18
Dataset_3_072,BC 391,S 016,Indomalayan,Asia,Philippines,Seven Room Cave,11.22272,122.08212,0,0,12.6569,0,0,0,12313.7,1000,0,34,0,292.17
Dataset_3_073,BC 393,S 016,Indomalayan,Asia,Philippines,Church Cave (b),11.22665,122.08357,26,0,12.6569,0,0,0,12313.7,1000,0,47,0,193.895
Dataset_3_074,BC 394,S 016,Indomalayan,Asia,Philippines,Aguila Cave,11.51655,122.0874,0,0,12.6569,0,0,0,11828.4,0,0,21,0,466.772
Dataset_3_075,BC 396,S 017,Indomalayan,Asia,Myanmar,"Kyan Taing Aung Cave, Sagainf Hill Range",21.89833,95.99932,0,0,10.4142,0,0,0,0,0,0,668,0,246.449
Dataset_3_076,BC 405,S 018,Indomalayan,Asia,Indonesia,Wailepe 1,-0.31739,130.89392,0,64670.4,7,0,0,0,13656.9,1000,0,43,0,7.65223
Dataset_3_077,BC 407,S 018,Austral-Oceania,Asia,Indonesia,Aleg Afni,-0.30828,130.90706,0,43290.1,2.82843,0,0,0,15071.1,0,0,23,0,7.65223
Dataset_3_078,BC 422,S 021,Indomalayan,Asia,India,"Koilighogar, Jharsuguda district",21.91936,83.6531,0,53914.3,4.24264,0,0,0,2414.21,0,0,46,0,114.348
Dataset_3_079,BC 423,S 021,Indomalayan,Asia,India,"Hemagiri, Sundegarh district",22.194,83.96501,0,39507.2,8.41421,0,0,1,2828.43,0,0,52,0,183.442
Dataset_3_080,BC 426,S 021,Indomalayan,Asia,India,"Similipal Biosphere reserve, Mayurbhanj district",21.76835,86.48396,25,37306.4,13.8995,0,0,0,10485.3,0,49.7359,41,0,98.2674
Dataset_3_081,BC 448,S 022,Indomalayan,Asia,Vietnam,Phia Oac-Phia Den Nature (Bamboo forest),22.5925,105.88111,34,41560.9,8.24264,0,-18,19,23485.3,0,49.7359,42,0,48.5208
Dataset_3_082,BC 455,S 022,Indomalayan,Asia,Vietnam,Phia Oac-Phia Den Nature (Low Montane broadleaf evergreen forest),22.605,105.88306,29,47838.9,8.24264,0,0,0,23071.1,0,99.4718,36,0,48.5208
Dataset_3_083,BC 460,S 024,Indomalayan,Asia,India,Unknown cave,26.39698,73.05228,0,0,10.8995,0,0,0,0,0,0,418,0,667.317
Dataset_3_084,BC 461,S 025,Indomalayan,Asia,Sri Lanka,Unknown cave,7.95,80.75,0,0,45.3553,0,0,0,10485.3,0,0,55,0,210.251
Dataset_3_085,BC 462,S 026,Indomalayan,Asia,India,Unknown cave,12.78333,74.86667,0,0,0,-8,-4,14,0,1000,0,315,0,1895.83
Dataset_3_086,BC 474,S 027,Palearctic,Asia,Iran,"Kazerun, Konartakteh cave",29.56667,51.5,0,0,9.41421,0,0,0,1000,0,49.7359,136,0,57.9188
Dataset_3_087,BC 508,S 027,Palearctic,Asia,Iran,"Farashband-Aviz, Chak cave",28.93333,52.03333,0,0,17.4853,27,-27,0,4242.64,1000,0,142,0,7.81894
Dataset_3_088,BC 519,S 027,Palearctic,Asia,Iran,"Shiraz, Pardis cave",29.78333,52.46667,0,0,2.41421,0,0,0,0,0,0,634,0,278.784
Dataset_3_089,BC 520,S 027,Palearctic,Asia,Iran,"Firuz Abad, Serizjan cave",28.93333,52.53333,0,0,2.41421,0,0,0,1000,0,0,124,0,35.1563
Dataset_3_090,BC 521,S 027,Afrotropical,Asia,Iran,"Shiraz, Eshkaft Boland cave",29.6,52.6,0,0,2.41421,0,0,0,0,0,248.68,765,0,278.784
Dataset_3_091,BC 542,S 027,Afrotropical,Asia,Iran,"Ghirzakrin, Abgram cave",28.3,53.05,0,0,2.41421,0,0,0,1000,0,0,128,0,18.9162
Dataset_3_092,BC 550,S 027,Palearctic,Asia,Iran,"Arsanjan, Eshkaft Khobrizi cave",29.81667,53.23333,0,0,2.41421,0,0,0,1414.21,0,0,113,0,47.9003
Dataset_3_093,BC 553,S 027,Afrotropical,Asia,Iran,"Arsanjan, Eshkaft-e, tireh kol cave",29.81667,53.23333,0,0,2.41421,0,0,0,1414.21,0,0,113,0,47.9003
Dataset_3_094,BC 554,S 027,Afrotropical,Asia,Iran,"Arsanjan, Kaleh Nazari cave",29.81667,53.23333,0,0,2.41421,0,0,0,1414.21,0,0,113,0,47.9003
Dataset_3_095,BC 581,S 027,Afrotropical,Asia,Iran,"Jahrom, Tadovan (Canae Garbu) cave",28.51667,53.55,0,0,4.41421,7,-7,0,0,0,0,648,0,38.6334
Dataset_3_096,BC 590,S 027,Palearctic,Asia,Iran,Larestan-Bolghan cave,28.1,53.58333,0,0,8.41421,24,-24,0,5000,0,0,134,0,15.5021
Dataset_3_097,BC 597,S 027,Afrotropical,Asia,Iran,"Jahrom, Fereshteh Jan, qanat",28.21667,53.93333,0,0,8.41421,0,0,0,3828.43,0,0,135,0,15.5021
Dataset_3_098,BC 602,S 027,Palearctic,Asia,Iran,"Larestan, Abbarik, tunner",27.71667,54.31667,0,0,8.41421,6,-6,0,0,0,0,222,0,15.5021
Dataset_3_099,BC 608,S 027,Palearctic,Asia,Iran,"Darab, Fath cave",28.53333,55.21667,0,0,8.41421,13,-13,0,7242.64,0,0,116,0,32.1137
Dataset_3_100,BC 647,S 029,Indomalayan,Asia,Cambodia,"La Ang Prakiu no. 2, Sampeu Battambang",13.06624,103.05166,0,0,24.2132,-6,4,1,6828.43,0,149.208,54,0,101.634
Dataset_3_101,BC 648,S 029,Indomalayan,Asia,Cambodia,"Ta Rumm no. 1, Sampeu Battambang",13.02288,103.09524,0,0,48.0416,-4,7,0,5656.85,0,99.4718,44,0,224.033
Dataset_3_102,BC 649,S 029,Indomalayan,Asia,Cambodia,"La Ang Pracheu (Ta Rumm no. 2). Sampeu, Battambang",13.02655,103.09983,0,0,48.0416,-4,7,0,5242.64,0,99.4718,38,0,224.032
Dataset_3_103,BC 652,S 029,Indomalayan,Asia,Cambodia,Dei Ho / Thom Ken,10.61684,104.243,0,0,25.799,0,0,0,2414.21,0,99.4718,58,0,198.969
Dataset_3_104,BC 653,S 029,Indomalayan,Asia,Cambodia,Bat Khteas,10.64386,104.26998,0,0,42.4558,0,9,-11,4828.43,0,99.4718,55,0,207.002
Dataset_3_105,BC 655,S 029,Indomalayan,Asia,Cambodia,Loang,10.72394,104.34183,0,0,42.4558,7,0,-8,10242.6,0,49.7359,53,0,153.717
Dataset_3_106,BC 656,S 029,Indomalayan,Asia,Cambodia,Pracheav,10.57318,104.47037,0,0,42.4558,0,0,0,11242.6,0,49.7359,59,0,310.571
Dataset_3_107,BC 657,S 029,Indomalayan,Asia,Cambodia,Toeuk,10.43996,104.4806,0,0,43.5269,0,0,0,2828.43,0,0,56,0,197.779
Dataset_3_108,BC 658,S 029,Indomalayan,Asia,Cambodia,Toeuk (Sam Pet),10.43996,104.4806,0,0,43.5269,0,0,0,2828.43,0,0,56,0,197.779
Dataset_3_109,BC 661,S 029,Indomalayan,Asia,Cambodia,"Ta Rumm no. 3, Sampeu Battambang",13.0231,0,0,0,43.0122,0,0,0,0,3414.21,0,872,0,36.3766
Dataset_3_110,BC 662,S 030,Palearctic,Asia,Iran,Telesm-e Dobiran,33.83333,46.3,0,0,16.4142,0,0,0,0,0,0,765,0,55.8559
Dataset_3_111,BC 664,S 030,Palearctic,Asia,Iran,Telesm-e Sarab,33.76667,46.36667,0,0,25.3848,0,0,0,0,0,0,161,0,55.8559
Dataset_3_112,BC 672,S 030,Palearctic,Asia,Iran,Chehel Sotoon,33.76667,46.61667,0,0,25.3848,0,0,0,0,0,0,463,0,31.6286
Dataset_3_113,BC 678,S 030,Palearctic,Asia,Iran,Bisheh Deraz,32.81667,46.96667,0,0,26.6274,-9,0,0,10414.2,1000,0,133,0,11.0025
Dataset_3_114,BC 699,S 031,Austral-Oceania,Australia,Australia,Robertson cave,-36.96667,140.75,0,0,8.41421,0,0,0,1000,0,0,297,0,262.241
Dataset_3_115,BC 700,S 032,Austral-Oceania,Australia,Australia,Kroombit Tops,-24.37715,151.04131,31,53597.8,8.41421,0,0,0,23242.6,4000,0,42,0,0.16488
Dataset_3_116,BC 720,S 033,Palearctic,Europe,Turkey,Sulu cave,41.84139,27.55694,0,35301.4,0,0,-9,9,12828.4,0,0,48,0,49.8592
Dataset_3_117,BC 744,S 034 a,Palearctic,Europe,Czech Republic,Na Turoldo cave A,48.81666,16.64,0,0,7.07107,-5,-7,13,1000,0,0,104,0,141.726
Dataset_3_118,BC 759,S 034 b,Palearctic,Europe,Czech Republic,Na Turoldo cave B,48.81666,16.64,0,0,2,-5,-7,13,1000,0,0,104,0,141.726
Dataset_3_119,BC 1119,S 038,Palearctic,Europe,Bulgaria,"Dinevata pesht cave, v. Gintzi",42.03333,3.1,0,0,-9999,0,5,-6,0,0,0,109,0,56.1939
Dataset_3_120,BC 1166,S 038,Palearctic,Europe,Bulgaria,Suhi,42.96667,22.88333,26,65427.2,-9999,0,-30,31,4242.64,0,0,51,0,15.4761
Dataset_3_121,BC 1169,S 038,Palearctic,Europe,Bulgaria,Shamaka,41.5,22.96667,0,0,-9999,-8,-35,43,11071.1,0,0,47,0,73.3966
Dataset_3_122,BC 1175,S 038,Palearctic,Europe,Bulgaria,Golyamata Balabanova Dupka Cave,42.81667,23.1,0,0,2.41421,0,0,0,4242.64,0,0,72,0,53.032
