id,species,longitude,latitude,year,source,date_filter,precision_filter,precision_filter_date,neo_filter,spatial_filter,.val,.equ,.zer,.cap,.cen,.sea,.urb,.gbf,.inst,.dpl,.summary,lon,lat,bias_filter
24,Desmodus rotundus,-40.546222,-19.887722,1973,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.546222,-19.887722,TRUE
25,Desmodus rotundus,-40.812139,-20.257889,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.812139,-20.257889,TRUE
26,Desmodus rotundus,-40.4199981689453,-20.2639007568359,1989,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.4199981689453,-20.2639007568359,TRUE
27,Desmodus rotundus,-44.373694,-19.282556,2008,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-44.373694,-19.282556,TRUE
28,Desmodus rotundus,-40.533333333,-20.3,2006,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.533333333,-20.3,TRUE
29,Desmodus rotundus,-40.147430556,-19.055722222,2009,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.147430556,-19.055722222,TRUE
30,Desmodus rotundus,-40.162183333,-18.349861111,2008,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.162183333,-18.349861111,TRUE
31,Desmodus rotundus,-40.749166667,-20.635833333,2006,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.749166667,-20.635833333,TRUE
32,Desmodus rotundus,-40.01619,-18.997,2011,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.01619,-18.997,TRUE
33,Desmodus rotundus,-40.7705555555556,-18.9733333333333,2006,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.7705555555556,-18.9733333333333,TRUE
34,Desmodus rotundus,-40.53944,-19.965,2012,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.53944,-19.965,TRUE
35,Desmodus rotundus,-40.8513984680176,-19.2250003814697,2006,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.8513984680176,-19.2250003814697,TRUE
36,Desmodus rotundus,-40.5297012329102,-20.1005992889404,2010,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.5297012329102,-20.1005992889404,TRUE
37,Desmodus rotundus,-40.7461013793945,-20.040599822998,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.7461013793945,-20.040599822998,TRUE
38,Desmodus rotundus,-38.96667,-13.28333,1993,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-38.96667,-13.28333,TRUE
39,Desmodus rotundus,-43.91667,-21.55,1993,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-43.91667,-21.55,TRUE
