id,species,longitude,latitude,year,source,date_filter,precision_filter,precision_filter_date,neo_filter,.val,.equ,.zer,.dpl,.summary,lon,lat,bias_filter,sptdist_filter
137,desmodus_rotundus,-66.1,5.35,NA,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-66.1,5.35,TRUE,TRUE
138,desmodus_rotundus,-65.9458333333333,3.51333333333333,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-65.9458333333333,3.51333333333333,TRUE,TRUE
139,desmodus_rotundus,-65.1833333333333,2.5,NA,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-65.1833333333333,2.5,TRUE,TRUE
143,desmodus_rotundus,-60.4958,7.3714,1999,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-60.4958,7.3714,TRUE,TRUE
148,desmodus_rotundus,-71.945733,-13.342967,2024,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-71.945733,-13.342967,TRUE,TRUE
150,desmodus_rotundus,-69.470968,-12.847796,2024,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-69.470968,-12.847796,TRUE,TRUE
153,desmodus_rotundus,-57.468939,-30.055163,2024,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-57.468939,-30.055163,TRUE,TRUE
156,desmodus_rotundus,-69.975053,-4.10337,2024,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-69.975053,-4.10337,TRUE,TRUE
176,desmodus_rotundus,-80.20664,7.48398,2024,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-80.20664,7.48398,TRUE,TRUE
191,desmodus_rotundus,-61.01305,10.16315,2024,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-61.01305,10.16315,TRUE,TRUE
192,desmodus_rotundus,-65.108774,-18.895127,2024,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-65.108774,-18.895127,TRUE,TRUE
197,desmodus_rotundus,-60.7407,-2.96646,2024,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-60.7407,-2.96646,TRUE,TRUE
198,desmodus_rotundus,-74.981005,4.297256,2024,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-74.981005,4.297256,TRUE,TRUE
209,desmodus_rotundus,-72.00009,4.636163,2024,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-72.00009,4.636163,TRUE,TRUE
214,desmodus_rotundus,-97.768308,23.182536,2024,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-97.768308,23.182536,TRUE,TRUE
218,desmodus_rotundus,-59.70756,-1.833897,2024,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-59.70756,-1.833897,TRUE,TRUE
234,desmodus_rotundus,-42.631467,-19.764353,2024,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-42.631467,-19.764353,TRUE,TRUE
247,desmodus_rotundus,-56.745197,-16.503027,2023,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-56.745197,-16.503027,TRUE,TRUE
248,desmodus_rotundus,-58.245281,-32.953066,2023,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-58.245281,-32.953066,TRUE,TRUE
256,desmodus_rotundus,-72.055094,2.864344,2023,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-72.055094,2.864344,TRUE,TRUE
261,desmodus_rotundus,-79.065195,-4.540363,2023,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-79.065195,-4.540363,TRUE,TRUE
293,desmodus_rotundus,-78.00496,8.55182,2023,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-78.00496,8.55182,TRUE,TRUE
